tr_median,median
6.138006874,1809.630981
8.799208785,1758.678955
12.8359736,1897.838989
9.168522835,1883.959961
12.64994846,1866.427979
7.843835986,1792.282043
8.309666397,1771.462036
4.535231054,1859.121948
8.518338499,1909.161987
11.45065383,1778.9505
10.5356254,1892.360474
7.61191926,1754.843994
8.388909212,1800.5
14.17313953,1795.934509
14.39389168,1791.551025
9.410988377,1874.828003
17.40176301,1775.845947
13.46312427,1775.11499
11.0016432,1817.666504
10.64532552,1829.171997
10.87891132,1820.041016
10.17468483,1827.345947
6.176887818,1765.435974
10.96240399,1661.156982
7.404990583,1917.562012
11.51485735,1686.541504
16.05469385,1802.691528
23.28074196,1864.235962
13.29916288,1673.028015
13.35355684,1874.828003
9.459822765,1772.92395
12.13483094,1777.123535
15.14841151,1763.427002
13.3373751,1782.602539
8.118671162,1901.491943
19.05524089,1625.728027
6.893201382,1887.429504
5.739859464,1848.530029
11.60895732,1801.412964
10.68219255,1703.526001
14.99755511,1824.42395
11.44569701,1710.100952
21.50473449,1716.310059
11.89226744,1872.636963
10.6250589,1676.131958
9.639916851,1911.536011
8.657195741,1815.291992
13.33935757,1803.239014
15.76356435,1878.480957
22.87632671,1767.079956
6.364827066,1903.317993
10.1411503,1742.973022
10.99827064,1710.831055
17.79596646,1827.71106
9.043633878,1802.691467
11.12016953,1827.71106
8.402916613,1915.553467
8.316200152,1904.047974
11.22694159,1727.997498
15.60273597,1817.484009
10.27645041,1797.030029
8.993668278,1809.083008
9.050248078,1873.732056
11.91542354,1847.435059
7.333497012,1942.034058
12.82148564,1765.984009
10.08275705,1783.880981
4.898064694,1825.52002
10.6489437,1818.944946
8.126466929,1825.154053
8.428745733,1873.5495
21.42300011,1863.505981
